规则编号,适用方向,依据字段,匹配方式,关键词,排除关键词,对手名称含,一级标签,二级标签,三级标签,优先级,备注
R0130,收入,摘要或备注,包含,退,,,经营类,退款交易,退款收入,960,词库
R0131,收入,摘要或备注,包含,公积,,,经营类,退款交易,退款收入,960,词库
R0132,收入,摘要或备注,包含,有误,,,经营类,退款交易,退款收入,960,词库
R0133,收入,摘要或备注,包含,账号误,,,经营类,退款交易,退款收入,960,词库
R0134,收入,摘要或备注,包含,账号错,,,经营类,退款交易,退款收入,960,词库
R0135,收入,摘要或备注,包含,不存在,,,经营类,退款交易,退款收入,960,词库
R0136,收入,摘要或备注,包含,户名不符,,,经营类,退款交易,退款收入,960,词库
R0137,收入,摘要或备注,包含,请填写正确的收款账户,,,经营类,退款交易,退款收入,960,词库
R0138,收入,摘要或备注,包含,汇错款,,,经营类,退款交易,退款收入,960,词库
R0139,收入,摘要或备注,包含,资金原路返回,,,经营类,退款交易,退款收入,960,词库
R0140,收入,摘要或备注,包含,金额不匹配,,,经营类,退款交易,退款收入,960,词库
R0141,收入,摘要或备注,包含,不能入账,,,经营类,退款交易,退款收入,960,词库
R0142,收入,摘要或备注,包含,户名不一致,,,经营类,退款交易,退款收入,960,词库
R0143,收入,摘要或备注,包含,非我行账号,,,经营类,退款交易,退款收入,960,词库
R0144,收入,摘要或备注,包含,非我行帐号,,,经营类,退款交易,退款收入,960,词库
R0145,收入,摘要或备注,包含,处理失败,,,经营类,退款交易,退款收入,960,词库
R0146,收入,摘要或备注,包含,通用失败,,,经营类,退款交易,退款收入,960,词库
R0147,收入,摘要或备注,包含,已冻结,,,经营类,退款交易,退款收入,960,词库
R0148,收入,摘要或备注,包含,无此账户,,,经营类,退款交易,退款收入,960,词库
R0149,收入,摘要或备注,包含,账号错误,,,经营类,退款交易,退款收入,960,词库
R0150,收入,摘要或备注,包含,户名误,,,经营类,退款交易,退款收入,960,词库
R0151,收入,摘要或备注,包含,户名错,,,经营类,退款交易,退款收入,960,词库
R0152,收入,摘要或备注,包含,转错,,,经营类,退款交易,退款收入,960,词库
R0153,收入,摘要或备注,包含,溢缴款,,,经营类,退款交易,退款收入,960,词库
R0154,收入,摘要或备注,包含,保证金及利息,,,经营类,退款交易,退款收入,960,词库
R0155,收入,对手名称,包含,招标,,,经营类,退款交易,退款收入,960,词库
R0156,收入,对手名称,包含,投标,,,经营类,退款交易,退款收入,960,词库
R0157,收入,摘要或备注,包含,保理款,,,筹资类,负债,保理借款,950,词库
R0158,收入,对手名称,包含,保理,,,筹资类,负债,保理借款,950,词库
R0159,支出,对手名称,包含,典当行,,,筹资类,民间借贷,偿还典当借款,950,词库
R0160,收入,对手名称,包含,典当行,,,筹资类,民间借贷,典当借款,940,词库
R0161,支出,摘要或备注,包含,租赁,,,经营类,运营成本,租金,940,词库
R0162,支出,摘要或备注,包含,房屋租赁,,,经营类,运营成本,租金,940,词库
R0163,支出,摘要或备注,包含,租金,,,经营类,运营成本,租金,940,词库
R0164,支出,摘要或备注,包含,房租,,,经营类,运营成本,租金,940,词库
R0165,支出,摘要或备注,包含,厂租,,,经营类,运营成本,租金,940,词库
R0166,支出,摘要或备注,包含,月租,,,经营类,运营成本,租金,940,词库
R0167,支出,摘要或备注,包含,铺租,,,经营类,运营成本,租金,940,词库
R0168,支出,摘要或备注,包含,楼租,,,经营类,运营成本,租金,940,词库
R0169,支出,摘要或备注,包含,租花费,,,经营类,运营成本,租金,940,词库
R0170,支出,摘要或备注,包含,租契,,,经营类,运营成本,租金,940,词库
R0171,支出,摘要或备注,包含,续租,,,经营类,运营成本,租金,940,词库
R0172,支出,摘要或备注,包含,租地,,,经营类,运营成本,租金,940,词库
R0173,收入,对手名称,包含,小额贷款,,,筹资类,民间借贷,小贷借款,930,词库
R0174,收入,对手名称,包含,金融信息,,,筹资类,民间借贷,小贷借款,930,词库
R0175,收入,对手名称,包含,融信网金,,,筹资类,民间借贷,小贷借款,930,词库
R0176,收入,对手名称,包含,中小企业金融,,,筹资类,民间借贷,小贷借款,930,词库
R0177,收入,对手名称,包含,互联网金融,,,筹资类,民间借贷,小贷借款,930,词库
R0178,支出,摘要或备注,包含,工资,,,经营类,人力成本,工资与奖金,930,词库
R0179,支出,摘要或备注,包含,薪金,,,经营类,人力成本,工资与奖金,930,词库
R0180,支出,摘要或备注,包含,薪酬,,,经营类,人力成本,工资与奖金,930,词库
R0181,支出,摘要或备注,包含,薪资,,,经营类,人力成本,工资与奖金,930,词库
R0182,支出,摘要或备注,包含,薪水,,,经营类,人力成本,工资与奖金,930,词库
R0183,支出,摘要或备注,包含,年终奖,,,经营类,人力成本,工资与奖金,930,词库
R0184,支出,摘要或备注,包含,年中奖,,,经营类,人力成本,工资与奖金,930,词库
R0185,支出,摘要或备注,包含,员工奖,,,经营类,人力成本,工资与奖金,930,词库
R0186,支出,摘要或备注,包含,提成,,,经营类,人力成本,工资与奖金,930,词库
R0187,支出,摘要或备注,包含,奖金,,,经营类,人力成本,工资与奖金,930,词库
R0188,支出,摘要或备注,包含,雇佣费,,,经营类,人力成本,工资与奖金,930,词库
R0189,支出,对手名称,包含,工资,,,经营类,人力成本,工资与奖金,930,词库
R0190,支出,摘要或备注,包含,劳务费,,,经营类,人力成本,工资与奖金,930,词库
R0191,支出,摘要或备注,包含,酬劳,,,经营类,人力成本,工资与奖金,930,词库
R0192,收入,摘要或备注,包含,招联放款,,,筹资类,消费金融,消金借款,920,词库
R0193,收入,对手名称,包含,消费金融,,,筹资类,消费金融,消金借款,920,词库
R0194,支出,摘要或备注,包含,福利,,,经营类,人力成本,其他职工成本,920,词库
R0195,支出,摘要或备注,包含,招聘,,,经营类,人力成本,其他职工成本,920,词库
R0196,支出,摘要或备注,包含,离职,,,经营类,人力成本,其他职工成本,920,词库
R0197,支出,摘要或备注,包含,补贴,,,经营类,人力成本,其他职工成本,920,词库
R0198,支出,摘要或备注,包含,伙食,,,经营类,人力成本,其他职工成本,920,词库
R0199,支出,摘要或备注,包含,手术,,,经营类,人力成本,其他职工成本,920,词库
R0200,支出,摘要或备注,包含,通讯费,,,经营类,人力成本,其他职工成本,920,词库
R0201,支出,摘要或备注,包含,体检费,,,经营类,人力成本,其他职工成本,920,词库
R0202,支出,摘要或备注,包含,加班,,,经营类,人力成本,其他职工成本,920,词库
R0203,支出,摘要或备注,包含,餐费,,,经营类,人力成本,其他职工成本,920,词库
R0204,支出,摘要或备注,包含,工服,,,经营类,人力成本,其他职工成本,920,词库
R0205,支出,摘要或备注,包含,高温费,,,经营类,人力成本,其他职工成本,920,词库
R0206,支出,摘要或备注,包含,慰问品,,,经营类,人力成本,其他职工成本,920,词库
R0207,支出,摘要或备注,包含,用餐,,,经营类,人力成本,其他职工成本,920,词库
R0208,支出,摘要或备注,包含,工餐,,,经营类,人力成本,其他职工成本,920,词库
R0209,支出,摘要或备注,包含,餐饮,,,经营类,人力成本,其他职工成本,920,词库
